"Date","Hash Rate","Average Transaction Fees"
"2022-04-27","462.59256545107587","0.1806721109053633"
"2022-04-26","477.11271518487223","0.217871313233639"
"2022-04-25","465.6812664884399","0.2523664177621994"
"2022-04-24","499.82599191031284","0.18429786985978697"
"2022-04-23","463.1142483660287","0.18249230824423204"
"2022-04-22","479.41765324277395","0.1913981491743077"
"2022-04-21","460.19740979893993","0.2293356822597896"
"2022-04-20","474.93690209821915","0.25070756408447675"
"2022-04-19","481.43314570867136","0.24873025432963353"
"2022-04-18","467.3275945411142","0.2514698775471608"
"2022-04-17","476.70411536576876","0.24342405420903876"
"2022-04-16","506.6746492863607","0.2499187962393537"
"2022-04-15","461.72713143781226","0.2536978600511545"
"2022-04-14","503.5847018390051","0.24583769982830686"
"2022-04-13","489.9357703111712","0.19160718978671037"
"2022-04-12","483.98263628583027","0.2555603851514065"
"2022-04-11","482.1146116787137","0.2525848091007957"
"2022-04-10","477.3608375662479","0.281460180439961"
"2022-04-09","483.7062134685632","0.27447049655706995"
"2022-04-08","461.7207964827179","0.246766649157952"
"2022-04-07","479.08562001358604","0.2774339246277971"
"2022-04-06","464.0441053926677","0.2760858909735646"
"2022-04-05","470.6410881184236","0.33230057222793985"
"2022-04-04","461.3966657289144","0.28093267801446775"
"2022-04-03","485.75573235040275","0.2697384577131154"
"2022-04-02","466.237865725917","0.24878129706421018"
"2022-04-01","449.13867650605584","0.2789529769334919"
"2022-03-31","453.57057664195503","0.26977425114754633"
"2022-03-30","439.7184209001227","0.23741032475957313"
"2022-03-29","462.56659389863563","0.27527452756078313"
"2022-03-28","463.4545340873028","0.2715816862480543"
"2022-03-27","440.10426421664323","0.3091544233491033"
"2022-03-26","444.5650511483157","0.27922568811464055"
"2022-03-25","440.766951731697","0.28929332830098675"
"2022-03-24","437.14286866208806","0.26069187660601967"
"2022-03-23","437.45273420323883","0.2516974868465844"
"2022-03-22","425.5437992461519","0.19221535209381121"
"2022-03-21","442.50758849882084","0.21329932071989707"
"2022-03-20","436.61290179819383","0.2155705531508773"
